,foxWolframR1,foxWolframR2,foxWolframR3,foxWolframR4,harmonicMomentThrust0,harmonicMomentThrust1,harmonicMomentThrust2,harmonicMomentThrust3,harmonicMomentThrust4,cleoConeThrust0,cleoConeThrust1,cleoConeThrust2,cleoConeThrust3,cleoConeThrust4,cleoConeThrust5,cleoConeThrust6,cleoConeThrust7,cleoConeThrust8,sphericity,aplanarity,thrust,thrustAxisCosTheta,sample,label,isBB
197,0.004126206040382385,0.21793720126152039,0.02943604439496994,0.01635204441845417,0.9453840255737305,-0.0069337631575763226,0.43758895993232727,0.025103332474827766,0.05335816368460655,0.07072016596794128,3.099238634109497,0.23910751938819885,2.530759334564209,1.8995190858840942,1.074570655822754,0.7989920973777771,0.21533073484897614,0.07350695878267288,0.3888920545578003,0.15223972499370575,0.7800565361976624,-0.44325789590235753,uubar,qqbar,0
15,0.013754620216786861,0.48481887578964233,0.026038100942969322,0.18563583493232727,0.9121261239051819,-0.023905277252197266,0.6334322094917297,-0.0073108552023768425,0.3613980710506439,0.0,6.412503242492676,0.1970040500164032,1.1153026819229126,1.2843916416168213,0.1156904324889183,0.3302372395992279,0.0,0.1947617083787918,0.13826607540249825,0.06138499639928341,0.8769766688346863,0.6018901631697386,uubar,qqbar,0
997,0.02064182050526142,0.41881507635116577,0.12704576551914215,0.3690547049045563,0.6079599261283875,0.024582115933299065,0.38635963201522827,-0.01592380180954933,0.3058880865573883,0.0,4.348872184753418,0.29883086681365967,0.0,0.5849189758300781,0.13675448298454285,0.6366478800773621,0.0,0.4259229600429535,0.13120052218437195,0.038789947517216206,0.830684244632721,0.7068322955353878,charged,bbbar,1
428,0.0015857694670557976,0.16674727201461792,0.06741701066493988,0.09575605392456055,0.9617802500724792,-0.03628500923514366,0.3447990417480469,0.11644484847784042,0.11148636043071747,1.6205024719238281,0.7055310010910034,1.5801128149032593,1.0992352962493896,1.8235971927642822,0.7850865721702576,1.8954424858093262,0.41043445467948914,0.2552672326564789,0.3927466571331024,0.040536350570619106,0.713146448135376,0.0672519398028001,charged,bbbar,1
459,0.003839228069409728,0.1025809720158577,0.030349917709827423,0.08193958550691605,0.8418259620666504,0.048354651778936386,0.2503272593021393,0.02730851247906685,-0.11087354272603989,0.0,0.9320731163024902,0.7381822466850281,2.231667995452881,2.0463407039642334,2.227682590484619,0.11206493526697159,0.5510785579681396,0.06705644726753235,0.6060239374637604,0.18950830399990082,0.7050882577896118,-0.05967196321072472,mixed,bbbar,1
1657,0.04430542513728142,0.21062982082366943,0.10725978761911392,0.087143674492836,0.8565913438796997,-0.174915611743927,0.36794647574424744,-0.17072565853595734,0.1472778469324112,1.9741944074630737,0.5242306590080261,0.7278580665588379,2.4576380252838135,0.7464288473129272,1.0814335346221924,0.21903635561466217,0.7047910690307617,0.6267468929290771,0.33049770444631577,0.060262732207775116,0.7422676682472229,0.2799839002694775,mixed,bbbar,1
494,0.005568677559494972,0.07713332772254944,0.08489777147769928,0.10003890097141266,0.7521273493766785,-0.015022815205156803,0.18482057750225067,0.14124232530593872,0.01744462177157402,0.0,1.6403117179870605,0.7349402904510498,1.1343748569488525,1.2918356657028198,0.4178906977176666,1.9310071468353271,0.32368308305740356,0.48313117027282715,0.5074325054883957,0.16544107720255852,0.658155620098114,-0.8252954319251552,mixed,bbbar,1
135,0.024328289553523064,0.25525134801864624,0.10167095810174942,0.1166471466422081,0.6898987889289856,0.09963072091341019,0.3250744640827179,0.060471609234809875,0.1485891491174698,1.8040095567703247,1.0817058086395264,0.27408719062805176,1.5453311204910278,0.0,1.6796417236328125,0.8644066452980042,0.04964227229356766,0.0,0.45187684893608093,0.0845619197934866,0.772712767124176,0.6547769642055649,ccbar,ccbar,0
48,0.003685389645397663,0.2723163366317749,0.04622313007712364,0.13766106963157654,0.9505470991134644,-0.01713639684021473,0.49055758118629456,0.0664227306842804,0.3160816729068756,1.6312499046325684,2.550926446914673,1.5203598737716675,1.8027375936508179,0.0,0.6685594916343689,0.8766795992851257,0.24380314350128174,0.7620519399642944,0.362336240708828,0.1199251189827919,0.7744534611701965,0.37004218358793656,ccbar,ccbar,0
643,0.001296801958233118,0.17168118059635162,0.05720273777842522,0.06969743221998215,0.7831168174743652,0.0131332753226161,0.3165237307548523,0.08232155442237854,0.1184823140501976,0.0,2.2625303268432617,1.7760895490646362,0.0,1.9583717584609985,0.3557511866092682,0.8842940330505371,0.7661201357841492,0.2818729281425476,0.29971911013126373,0.09867489337921143,0.7337550520896912,0.029968457337696253,mixed,bbbar,1
